map_name,title,sub
Dungeon041,Ja Baij Shrine,Bomb Trial
Dungeon120,Yowaka Ita Shrine,Collected Soul
Dungeon123,Rohta Chigah Shrine,Stop to Start
Dungeon068,Ya Naga Shrine,Shatter the Heavens
Dungeon135,Ruvo Korbah Shrine,A Major Test of Strength+
Dungeon009,Owa Daim Shrine,Stasis Trial
Dungeon069,Ishto Soh Shrine,Bravery's Grasp
Dungeon108,Ketoh Wawai Shrine,Ketoh Wawai's Blessing
Dungeon022,Keo Ruug Shrine,Fateful Stars
Dungeon106,Maag Halan Shrine,Maag Halan's Blessing
Dungeon095,Kuhn Sidajj Shrine,Kuhn Sidajj's Blessing
Dungeon079,Namika Ozz Shrine,A Modest Test of Strength
Dungeon029,Hila Rao Shrine,Drifting
Dungeon049,Kaya Wan Shrine,Shields from Water
Dungeon007,Bosh Kala Shrine,The Wind Guides You
Dungeon057,Wahgo Katta Shrine,Metal Connections
Dungeon071,Pumaag Nitae Shrine,A Minor Test of Strength
Dungeon113,Shae Katha Shrine,Shae Katha's Blessing
Dungeon054,Ka'o Makagh Shrine,Metal Doors Open the Way
Dungeon080,Shoqa Tatone Shrine,A Modest Test of Strength
Dungeon028,Shora Hah Shrine,Blue Flame
Dungeon026,Shae Mo'sah Shrine,Swinging Flames
Dungeon067,Qua Raym Shrine,A Balanced Approach
Dungeon056,Mirro Shaz Shrine,Tempered Power
Dungeon023,Sheh Rata Shrine,Speed of Light
Dungeon033,Daka Tuss Shrine,Sunken Scoop
Dungeon099,Ta'loh Naeg Shrine,Ta'loh Naeg's Teaching
Dungeon045,Ha Dahamar Shrine,The Water Guides
Dungeon112,Lakna Rokee Shrine,Lakna Rokee's Blessing
Dungeon047,Ree Dahee Shrine,Timing Is Critical
Dungeon017,Shee Vaneer Shrine,Twin Memories
Dungeon044,Shee Venath Shrine,Twin Memories
Dungeon015,Toto Sah Shrine,Toto Sah Apparatus
Dungeon061,Shoda Sah Shrine,Impeccable Timing
Dungeon050,Shai Utoh Shrine,Halt the Tilt
Dungeon130,Kamia Omuna Shrine,Moving Targets
Dungeon091,Gorae Torr Shrine,Gorae Torr's Blessing
Dungeon064,Daqa Koh Shrine,Stalled Flight
Dungeon025,Kayra Mah Shrine,Greedy Hill
Dungeon132,Sharo Lun Shrine,Blind Spots
Dungeon131,Rinu Honika Shrine,Block the Blaze
Dungeon002,Sah Dahaj Shrine,Power of Fire
Dungeon031,Mo'a Keet Shrine,Metal Makes a Path
Dungeon070,Soh Kofi Shrine,A Minor Test of Strength
Dungeon000,Tah Muhl Shrine,Passing the Flame
Dungeon024,Mezza Lo Shrine,Ancient Trifecta
Dungeon019,Dow Na'eh Shrine,Three Boxes
Dungeon014,Kam Urog Shrine,Trial of Passage
Dungeon111,Tawa Jinn Shrine,Tawa Jinn's Blessing
Dungeon096,Qukah Nata Shrine,Qukah Nata's Blessing
Dungeon006,Yah Rin Shrine,A Weighty Decision
Dungeon102,Zuna Kai Shrine,Zuna Kai's Blessing
Dungeon084,Tutsuwa Nima Shrine,A Major Test of Strength
Dungeon075,Dah Hesho Shrine,A Minor Test of Strength
Dungeon048,Ze Kasho Shrine,Ze Kasho Apparatus
Dungeon124,Sato Koda Shrine,Support and Guidance
Dungeon101,Dagah Keek Shrine,Dagah Keek's Blessing
Dungeon126,Mah Eliya Shrine,Secret Stairway
Dungeon005,Ne'ez Yohma Shrine,Pushing Power
Dungeon016,Rucco Maag Shrine,Five Flames
Dungeon117,Jitan Sa'mi Shrine,Jitan Sa'mi's Blessing
Dungeon039,Myahm Agana Shrine,Myahm Agana Apparatus
Dungeon034,Kah Yah Shrine,Quick Thinking
Dungeon081,Muwo Jeem Shrine,A Modest Test of Strength
Dungeon105,Tu Ka'loh Shrine,Tu Ka'loh's Blessing
Dungeon013,Katosa Aug Shrine,Katosa Aug Apparatus
Dungeon109,Ritaag Zumo Shrine,Ritaag Zumo's Blessing
Dungeon066,Kah Mael Shrine,Drop and Rise
Dungeon077,Ke'nai Shakah Shrine,A Modest Test of Strength
Dungeon125,Kee Dafunia Shrine,The Melting Point
Dungeon114,Shai Yota Shrine,Shai Yota's Blessing
Dungeon119,Tahno O'ah Shrine,Tahno O'ah's Blessing
Dungeon082,Chaas Qeta Shrine,A Major Test of Strength
Dungeon097,Korgu Chideh Shrine,Korgu Chideh's Blessing
